name,team,battingStyle,bowlingStyle,playingRole
JagadeeshaSuchith,SRH,Left hand Bat,Slow Left arm Orthodox,Bowler
WashingtonSundar,RCB,Left hand Bat,Right arm Offbreak,All rounder
AmitMishra,DC,Right hand Bat,Legbreak,Bowler
ImranTahir,CSK,Right hand Bat,Legbreak Googly,Bowler
MananVohra,RR,Right hand Bat,Right arm Medium,Top Order Batter
KaneRichardson,RCB,Right hand Bat,Right arm Fast medium,Bowler
KamleshNagarkoti,KKR,Right hand Bat,Right arm Fast,Bowler
MuruganAshwin,PK,Right hand Bat,Legbreak Googly,Bowler
ChrisWoakes,DC,Right hand Bat,Right arm Fast medium,All rounder
LukmanMeriwala,DC,Left hand Bat,Left arm Fast medium,Bowler
JalajSaxena,PK,Right hand Bat,"Right arm Offbreak, Legbreak Googly",All rounder
JhyeRichardson,PK,Right hand Bat,Right arm Fast,Bowler
HarbhajanSingh,KKR,Right hand Bat,Right arm Offbreak,Bowler
ViratSingh,SRH,Left hand Bat,Legbreak Googly,Top order Batter
MujeebUrRahman,SRH,Right hand Bat,Right arm Offbreak,Bowler
AjinkyaRahane,DC,Right hand Bat,Right arm Medium,Top order Batter
ShahbazNadeem,SRH,Right hand Bat,Slow Left arm Orthodox,Bowler
TNatarajan,SRH,Left hand Bat,Left arm Medium,Bowler
MarcoJansen,MI,Right hand Bat,Left arm Medium fast,All rounder
BenStokes,RR,Left hand Bat,Right arm Fast medium,All rounder
ChrisLynn,MI,Right hand Bat,Slow Left arm Orthodox,Top order Batter
ObedMcCoy,RR,Left hand Bat,Left arm Fast medium,Bowler
MatthewWade,GT,Left hand Bat,Right arm Medium,Wicketkeeper
YashDayal,GT,Right hand Bat,Left arm Medium fast,Bowler
SaiKishore,GT,Left hand Bat,Slow Left arm Orthodox,Bowler
DushmanthaChameera,LSG,Right hand Bat,Right arm Fast,Bowler
MohsinKhan,LSG,Left hand Bat,Left arm Medium fast,Bowler
AlzarriJoseph,GT,Right hand Bat,Right arm Fast,Bowler
RomarioShepherd,SRH,Right hand Bat,Right arm Fast medium,All rounder
JiteshSharma,PK,Right hand Bat,Not Bowling,Wicketkeeper
PrerakMankad,PK,Right hand Bat,Right arm Medium,All rounder
FazalhaqFarooqi,SRH,Right hand Bat,Left arm Fast medium,Bowler
MitchellMarsh,DC,Right hand Bat,Right arm Medium,All rounder
RovmanPowell,DC,Right hand Bat,Right arm Medium fast,Middle order Batter
KuldeepYadav,DC,Left hand Bat,Left arm Wrist spin,Bowler
DewaldBrevis,MI,Right hand Bat,Legbreak,All rounder
TilakVarma,MI,Left hand Bat,Right arm Offbreak,All rounder
RamandeepSingh,MI,Right hand Bat,Right arm Medium,Middle order Batter
HrithikShokeen,MI,Right hand Bat,Right arm Offbreak,Bowler
DevonConway,CSK,Left hand Bat,Right arm Medium,Wicketkeeper
NarayanJagadeesan,CSK,Right hand Bat,Not Bowling,Top Order Batter
MitchellSantner,CSK,Left hand Bat,Slow Left arm Orthodox,All rounder
SimarjeetSingh,CSK,Right hand Bat,Right arm Medium fast,Bowler
MukeshChoudhary,CSK,Left hand Bat,Left arm Medium,Bowler
MatheeshaPathirana,CSK,Right hand Bat,Right arm Fast,Bowler
PrashantSolanki,CSK,Right hand Bat,Legbreak,Bowler
AbhijeetTomar,KKR,Right hand Bat,Right arm Offbreak,Top Order Batter
SamBillings,KKR,Right hand Bat,Not Bowling,Wicketkeeper
RinkuSingh,KKR,Left hand Bat,Right arm Offbreak,Middle order Batter
UmeshYadav,KKR,Right hand Bat,Right arm Fast,Bowler
KrishnappaGowtham,LSG,Right hand Bat,Right arm Offbreak,All rounder
TristanStubbs,MI,Right hand Bat,Right arm Offbreak,Wicketkeeper
SanjayYadav,MI,Left hand Bat,Slow Left arm Orthodox,All rounder
BhanukaRajapaksa,PK,Left hand Bat,Right arm Medium,Top order Batter
RishiDhawan,PK,Right hand Bat,Right arm Medium fast,All rounder
AyushBadoni,LSG,Right hand Bat,Right arm Offbreak,Middle order Batter
ShashankSingh,SRH,Right hand Bat,"Right arm Medium, Right arm Offbreak",All rounder
MaheeshTheekshana,CSK,Right hand Bat,Right arm Offbreak,Bowler
KumarKartikeya,MI,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin",Bowler
RassievanderDussen,RR,Right hand Bat,Legbreak,Top order Batter
KuldeepSen,RR,Right hand Bat,Right arm Fast,Bowler
KaranSharma,LSG,Right hand Bat,Right arm Offbreak,All rounder
SheldonJackson,KKR,Right hand Bat,Not Bowling,Wicketkeeper
BabaIndrajith,KKR,Right hand Bat,Legbreak Googly,Top order Batter
AaronFinch,KKR,Right hand Bat,Slow Left arm Orthodox,Top order Batter
AnukulRoy,KKR,Left hand Bat,Slow Left arm Orthodox,All rounder
HarshitRana,KKR,Right hand Bat,Right arm Fast,Bowler
SaiSudharsan,GT,Left hand Bat,Legbreak,Top order Batter
PradeepSangwan,GT,Right hand Bat,Left arm Medium,Bowler
SeanAbbott,SRH,Right hand Bat,Right arm Fast medium,All rounder
DwainePretorius,CSK,Right hand Bat,Right arm Medium fast,All rounder
KarunNair,RR,Right hand Bat,Right arm Offbreak,Top order Batter
DarylMitchell,RR,Right hand Bat,Right arm Medium,All rounder
AbhinavManohar,GT,Right hand Bat,Legbreak Googly,All rounder
SuyashPrabhudessai,RCB,Right hand Bat,Right arm Medium,All rounder
VaibhavArora,PK,Right hand Bat,Right arm Fast medium,Bowler
OdeanSmith,PK,Right hand Bat,Right arm Fast medium,All rounder
TymalMills,MI,Right hand Bat,Left arm Fast,Bowler
AmanHakimKhan,KKR,Right hand Bat,Right arm Medium,All rounder
BasilThampi,MI,Right hand Bat,Right arm Fast medium,Bowler
AkashDeep,RCB,Right hand Bat,Right arm Fast medium,All rounder
DarshanNalkande,GT,Right hand Bat,Right arm Fast medium,Bowler
RasikhSalam,KKR,Right hand Bat,Right arm Medium,Bowler
DavidWilley,RCB,Left hand Bat,Left arm Fast medium,All rounder
AndrewTye,LSG,Right hand Bat,Right arm Medium fast,Bowler
SherfaneRutherford,RCB,Left hand Bat,Right arm Fast medium,Middle order Batter
VarunAaron,GT,Right hand Bat,Right arm Fast,Bowler
RajBawa,PK,Left hand Bat,Right arm Medium fast,All rounder
TusharDeshpande,CSK,Left hand Bat,Right arm Medium,Bowler
NoorAhmad,GT,Right hand Bat,Left arm Wrist spin,Bowler
JoshLittle,GT,Right hand Bat,Left arm Fast medium,Bowler
MohitSharma,GT,Right hand Bat,Right arm Medium,Bowler
NehalWadhera,MI,Left hand Bat,Legbreak,Top order Batter
CameronGreen,MI,Right hand Bat,Right arm Fast medium,All rounder
VishnuVinod,MI,Right hand Bat,Not Bowling,Wicketkeeper
JasonBehrendorff,MI,Right hand Bat,Left arm Fast medium,Bowler
AkashMadhwal,MI,Right hand Bat,Right arm Medium fast,Bowler
KyleMayers,LSG,Left hand Bat,Right arm Medium,All rounder
Naveen-ul-Haq,LSG,Right hand Bat,Right arm Medium fast,Bowler
YashThakur,LSG,Right hand Bat,Right arm Fast medium,Bowler
DasunShanaka,GT,Right hand Bat,Right arm Medium,All rounder
MichaelBracewell,RCB,Left hand Bat,Right arm Offbreak,All rounder
WayneParnell,RCB,Left hand Bat,Left arm Medium fast,Bowler
VijaykumarVyshak,RCB,Right hand Bat,Right arm Medium,Bowler
HimanshuSharma,RCB,Right hand Bat,Legbreak,Bowler
VivrantSharma,SRH,Left hand Bat,Legbreak Googly,All rounder
HeinrichKlaasen,SRH,Right hand Bat,Right arm Offbreak,Wicketkeeper
HarryBrook,SRH,Right hand Bat,Right arm Medium,Top Order Batter
SanvirSingh,SRH,Right hand Bat,Right arm Medium,All rounder
NitishKumarReddy,SRH,Right hand Bat,Right arm Medium fast,All rounder
MayankDagar,SRH,Right hand Bat,Slow Left arm Orthodox,Bowler
RahmanullahGurbaz,KKR,Right hand Bat,Not Bowling,Wicketkeeper
SuyashSharma,KKR,Right hand Bat,Legbreak Googly,Bowler
PhilSalt,DC,Right hand Bat,Right arm Offbreak,Wicketkeeper
RileeRossouw,DC,Left hand Bat,Right arm Offbreak,Top order Batter
YashDhull,DC,Right hand Bat,Right arm Offbreak,Top order Batter
AtharvaTaide,PK,Left hand Bat,Slow Left arm Orthodox,All rounder
DhruvJurel,RR,Right hand Bat,Not Bowling,Wicketkeeper
AdamZampa,RR,Right hand Bat,Legbreak Googly,Bowler
KarnSharma,RCB,Left hand Bat,Legbreak Googly,Bowler
MukeshKumar,DC,Right hand Bat,Right arm Medium,Bowler
SwapnilSingh,LSG,Right hand Bat,Slow Left arm Orthodox,Bowler
JoeRoot,RR,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter
SikandarRaza,PK,Right hand Bat,Right arm Offbreak,All rounder
PraveenDubey,DC,Right hand Bat,Legbreak Googly,Bowler
YudhvirSingh,LSG,Right hand Bat,Right arm Medium fast,Bowler
ArshadKhan,MI,Left hand Bat,Left arm Medium,Bowler
JofraArcher,MI,Right hand Bat,Right arm Fast,Bowler
RaghavGoyal,MI,Left hand Bat,Left arm Wrist spin,Bowler
MatthewShort,PK,Right hand Bat,Right arm Offbreak,Top order Batter
AkealHosein,SRH,Left hand Bat,Slow Left arm Orthodox,Bowler
DavidWiese,KKR,Right hand Bat,Right arm Medium fast,All rounder
GurnoorBrar,PK,Left hand Bat,Right arm Fast,Bowler
ArjunTendulkar,MI,Left hand Bat,Left arm Medium fast,Bowler
KulwantKhejroliya,KKR,Left hand Bat,Left arm Medium fast,Bowler
AbdulBasith,RR,Right hand Bat,Right arm Offbreak,All rounder
HarpreetSingh,PK,Left hand Bat,Right arm Medium,Middle Order Batter
LittonDas,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper
DuanJansen,MI,Right hand Bat,Left arm Fast,Bowler
MarkWood,LSG,Right hand Bat,Right arm Fast,Bowler
AbishekPorel,DC,Left hand Bat,Not Bowling,Wicketkeeper
SisandaMagala,CSK,Right hand Bat,Right arm Fast medium,Bowler
MohitRathee,PK,Right hand Bat,Legbreak,All rounder
RajvardhanHangargekar,CSK,Right hand Bat,Right arm Fast medium,All rounder
ReeceTopley,RCB,Right hand Bat,Left arm Fast medium,Bowler
